Event_id,Episode,Name,LOCODE,Country,Distance
1000000,49,Riposto,ITRPT,Italy,19 km
1000000,49,Acireale,,Italy,25 km
1000000,49,Taormina,,Italy,28 km
1000000,49,Catania,ITCTA,Italy,30 km
1000000,49,Milazzo,ITMLZ,Italy,56 km
1000000,49,Augusta,ITAUG,Italy,60 km
1000000,49,Maghisi,ITMAG,Italy,69 km
1000000,49,Messina,ITMSN,Italy,69 km
1000000,49,Reggio Calabria,ITREG,Italy,70 km
1000000,49,Vulcano Island,,Italy,74 km
1000000,49,Melilli,ITMEL,Italy,74 km
1000000,49,Villa San Giovanni,,Italy,76 km
1000000,49,Melito,,Italy,76 km
1000000,49,Siracusa,ITSIR,Italy,81 km
1000000,49,Lipari,ITLIP,Italy,83 km
1000000,49,Salina Island,ITSLA,Italy,94 km
1000000,49,Panarea,ITPAN,Italy,97 km
1000003,1,Belawan,IDBLW,Indonesia,75 km
1000003,1,"Medan, Sumatra",IDMES,Indonesia,77 km
1000003,1,Perbaungan,,Indonesia,86 km
1000004,6,Wates,,Indonesia,54 km
1000004,6,Semarang,IDSRG,Indonesia,65 km
1000005,1,Tana Island,,Vanuatu,11 km
1000005,1,Aneityum Island,,Vanuatu,85 km
1000006,4,Lomblen Island,,Indonesia,28 km
1000006,4,Larantuka,,Indonesia,59 km
1000007,1,Probolinggo,IDPRO,Indonesia,53 km
1000007,1,Pasuruan,,Indonesia,53 km
1000007,1,Besuki,,Indonesia,94 km
1000008,1,Saint Pierre,,Reunion,26 km
1000008,1,Saint Denis,,Reunion,49 km
1000008,1,Pointe Des Galets,REPDG,Reunion,57 km
1000009,1,Hilo,USITO,Wake Island,41 km
1000009,1,Honuapo,,Wake Island,47 km
1000009,1,Kauhako Bay,,Wake Island,64 km
1000009,1,Napoopoo,,Wake Island,68 km
1000009,1,Milolii,,Wake Island,71 km
1000009,1,Honokaa,,Wake Island,78 km
1000009,1,Kailua,,Wake Island,78 km
1000009,1,Kiholo,,Wake Island,85 km
1000009,1,Kawaihae,USKWH,Wake Island,88 km
1000010,1,Puerto Quetzail,GTPRQ,Guatemala,55 km
1000010,1,San Jose,GTSJO,Guatemala,57 km
1000010,1,San Jose,GTSJO,Guatemala,57 km
1000011,1,San Jose,GTSJO,Guatemala,62 km
1000011,1,San Jose,GTSJO,Guatemala,62 km
1000011,1,Puerto Quetzail,GTPRQ,Guatemala,62 km
1000011,1,Playa Grande,,Guatemala,80 km
1000012,5,Calaca,,Philippines,24 km
1000012,5,Tabangoa,PHTBG,Philippines,26 km
1000012,5,Batangas,PHBLG,Philippines,28 km
1000012,5,Pagapas,,Philippines,39 km
1000012,5,Nasugbu,PHNUG,Philippines,41 km
1000012,5,Cavite,PHCVE,Philippines,54 km
1000012,5,Manila,PHMNL,Philippines,65 km
1000012,5,Calapan / Batangas,PHCLP,Philippines,68 km
1000012,5,Bataan,PHBTN,Philippines,69 km
1000012,5,Mariveles,,Philippines,72 km
1000012,5,Navotas,,Philippines,73 km
1000012,5,Mauban,,Philippines,84 km
